Stage,MinStat,MaxStat,MinTime,MaxTime
1,211,211,00:15:00,00:30:00
2,107,209,00:00:30,00:02:00
3,106,210,00:00:30,00:02:00
4,99,100,00:10:00,00:15:00
5,104,105,00:15:00,00:30:00
6,107,209,00:00:30,00:02:00
7,106,210,00:00:30,00:02:00
8,109,109,00:15:00,00:30:00
9,107,209,00:00:30,00:02:00
10,106,210,00:00:30,00:02:00
11,108,108,00:15:00,00:30:00
12,107,209,00:00:30,00:02:00
13,106,210,00:00:30,00:02:00
14,109,109,00:15:00,00:30:00
15,107,209,00:00:30,00:02:00
16,106,210,00:00:30,00:02:00
17,99,100,00:10:00,00:15:00
18,103,103,00:00:30,00:05:00
19,101,102,00:20:00,00:30:00
20,202,202,00:00:00,00:00:00
