Stage,MinStat,MaxStat,MinTime,MaxTime
1,107,107,00:15:00,00:16:00
2,113,115,00:05:00,00:06:00
3,112,112,00:05:00,00:06:00
4,204,205,00:30:00,00:31:00
5,113,115,00:05:00,00:06:00
6,112,112,00:05:00,00:06:00
7,210,213,00:15:00,00:16:00
8,113,115,00:05:00,00:06:00
9,112,112,00:05:00,00:06:00
10,202,202,00:15:00,00:16:00
11,113,115,00:05:00,00:06:00
12,112,112,00:05:00,00:06:00
13,206,206,00:15:00,00:16:00
14,113,115,00:05:00,00:06:00
15,112,112,00:05:00,00:06:00
16,201,201,00:01:00,00:02:00
17,102,104,00:00:00,00:10:00
18,105,109,00:15:00,00:16:00
19,101,101,00:00:00,00:00:00
